,img_name,tooth_id,quad,index,center_x_wrong,center_y_wrong,width_wrong,height_wrong,wrong_quadrant,wrong_order,manual_bad_bounding_box,manual_ok,image_link
754,nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg,f_3_3,3,3,False,False,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/nutty-abnormal-talented-lopsided-coordinated-case_09930d7f9bc25339e43fd297e37b0970.jpg
774,jealous-idiotic-secretive-profuse-aboard-whole_650dbd75ca48a2b66aa791c77fbcc800.jpg,f_2_7,2,7,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/jealous-idiotic-secretive-profuse-aboard-whole_650dbd75ca48a2b66aa791c77fbcc800.jpg
796,jealous-idiotic-secretive-profuse-aboard-whole_650dbd75ca48a2b66aa791c77fbcc800.jpg,f_4_5,4,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/jealous-idiotic-secretive-profuse-aboard-whole_650dbd75ca48a2b66aa791c77fbcc800.jpg
798,jealous-idiotic-secretive-profuse-aboard-whole_650dbd75ca48a2b66aa791c77fbcc800.jpg,f_4_7,4,7,True,False,False,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/jealous-idiotic-secretive-profuse-aboard-whole_650dbd75ca48a2b66aa791c77fbcc800.jpg
811,violent-free-tangy-yummy-nutty-alternative_f492f769766dd9e4db90afc24f00c672.jpg,m_1_5,1,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/violent-free-tangy-yummy-nutty-alternative_f492f769766dd9e4db90afc24f00c672.jpg
813,violent-free-tangy-yummy-nutty-alternative_f492f769766dd9e4db90afc24f00c672.jpg,m_1_7,1,7,False,False,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/violent-free-tangy-yummy-nutty-alternative_f492f769766dd9e4db90afc24f00c672.jpg
1153,lackadaisical-scientific-loutish-substantial-brawny-past_7089757697ee272bc36b79413292999a.jpg,m_2_5,2,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/lackadaisical-scientific-loutish-substantial-brawny-past_7089757697ee272bc36b79413292999a.jpg
1484,redundant-fixed-flimsy-complete-tacky-husband_d58a66eae17c34506b9e38eeffc24b06.jpg,f_3_3,3,3,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/redundant-fixed-flimsy-complete-tacky-husband_d58a66eae17c34506b9e38eeffc24b06.jpg
1492,redundant-fixed-flimsy-complete-tacky-husband_d58a66eae17c34506b9e38eeffc24b06.jpg,f_4_3,4,3,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/redundant-fixed-flimsy-complete-tacky-husband_d58a66eae17c34506b9e38eeffc24b06.jpg
1589,massive-quizzical-false-bumpy-habitual-fish_598f1bc9fb3e802c706337d04d4b04cc.jpg,m_2_1,2,1,False,False,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/massive-quizzical-false-bumpy-habitual-fish_598f1bc9fb3e802c706337d04d4b04cc.jpg
1747,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_2_1,2,1,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1748,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_2_2,2,2,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1749,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_2_3,2,3,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1750,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_2_4,2,4,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1751,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_2_5,2,5,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1752,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_2_6,2,6,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1753,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_2_7,2,7,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1754,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_1_1,1,1,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1755,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_1_2,1,2,True,True,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1756,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_1_3,1,3,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1757,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_1_4,1,4,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1758,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_1_5,1,5,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1759,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_1_6,1,6,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1760,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_1_7,1,7,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1761,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_3_1,3,1,True,True,False,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1762,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_3_2,3,2,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1763,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_3_3,3,3,True,True,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1764,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_3_4,3,4,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1765,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_3_5,3,5,True,True,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1766,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_3_7,3,7,True,True,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1767,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_3_8,3,8,True,True,False,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1768,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_4_1,4,1,True,True,False,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1769,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_4_2,4,2,True,True,False,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1770,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_4_3,4,3,True,True,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1771,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_4_4,4,4,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1772,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_4_5,4,5,True,True,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1773,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_4_6,4,6,True,True,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1774,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_4_7,4,7,True,True,True,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
1775,private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg,f_4_8,4,8,True,True,False,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-attractive-unwieldy-wooden-fixed-wheel_3fd25658cfe1b7dd059ddcb29d94bf59.jpg
2047,delicate-ethereal-curly-watery-enchanted-tomorrow_89608fd4ef4abd4878dc1051e47831ff.jpg,m_1_2,1,2,False,False,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/delicate-ethereal-curly-watery-enchanted-tomorrow_89608fd4ef4abd4878dc1051e47831ff.jpg
2110,strange-fair-stupid-statuesque-nine-hate_c4c65d0e8801897f421906582fa80409.jpg,f_4_4,4,4,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/strange-fair-stupid-statuesque-nine-hate_c4c65d0e8801897f421906582fa80409.jpg
2121,lavish-frantic-clean-unequal-true-self_f5c893b39c691de7157ec0da785435e2.jpg,m_1_3,1,3,False,False,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/lavish-frantic-clean-unequal-true-self_f5c893b39c691de7157ec0da785435e2.jpg
2297,fantastic-dapper-guarded-thirsty-left-edge_67bd4152ae6e886d376be6bf6594b342.jpg,f_3_5,3,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/fantastic-dapper-guarded-thirsty-left-edge_67bd4152ae6e886d376be6bf6594b342.jpg
2426,tall-spotless-addicted-imported-hungry-upper_d7ac4cc7fee011d448d6cf69d721f61a.jpg,m_1_3,1,3,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/tall-spotless-addicted-imported-hungry-upper_d7ac4cc7fee011d448d6cf69d721f61a.jpg
2987,fluffy-immense-rainy-actually-cold-bother_df129f7384c2b4e5ea9983855f6e7e06.jpg,m_2_1,2,1,False,False,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/fluffy-immense-rainy-actually-cold-bother_df129f7384c2b4e5ea9983855f6e7e06.jpg
2988,fluffy-immense-rainy-actually-cold-bother_df129f7384c2b4e5ea9983855f6e7e06.jpg,m_2_2,2,2,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/fluffy-immense-rainy-actually-cold-bother_df129f7384c2b4e5ea9983855f6e7e06.jpg
3150,soft-silent-absent-relieved-spectacular-church_086cf70860a5734518e3a754c5ef7257.jpg,m_1_7,1,7,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/soft-silent-absent-relieved-spectacular-church_086cf70860a5734518e3a754c5ef7257.jpg
3287,thinkable-observant-greedy-recondite-sad-unit_2ae6a30021909baaec20f89817ba60a9.jpg,f_2_5,2,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/thinkable-observant-greedy-recondite-sad-unit_2ae6a30021909baaec20f89817ba60a9.jpg
3294,thinkable-observant-greedy-recondite-sad-unit_2ae6a30021909baaec20f89817ba60a9.jpg,f_1_5,1,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/thinkable-observant-greedy-recondite-sad-unit_2ae6a30021909baaec20f89817ba60a9.jpg
3688,hungry-wide-understood-one-ossified-spot_a483acdc83cec4ab7e85a6b7f07275c5.jpg,m_3_5,3,5,False,False,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/hungry-wide-understood-one-ossified-spot_a483acdc83cec4ab7e85a6b7f07275c5.jpg
3727,squalid-dysfunctional-descriptive-nauseating-fascinated-reality_a44cfbbf31def6a4f1555ebb36c4dbdd.jpg,m_4_5,4,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/squalid-dysfunctional-descriptive-nauseating-fascinated-reality_a44cfbbf31def6a4f1555ebb36c4dbdd.jpg
3882,nifty-daily-fluttering-lively-greasy-block_55b390a7c5279ac889cae288f9033958.jpg,f_2_5,2,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/nifty-daily-fluttering-lively-greasy-block_55b390a7c5279ac889cae288f9033958.jpg
4183,scientific-panicky-lying-cloistered-fancy-law_5189906e9c8a9bd06fa471ad9d2f4237.jpg,m_3_1,3,1,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/scientific-panicky-lying-cloistered-fancy-law_5189906e9c8a9bd06fa471ad9d2f4237.jpg
4184,scientific-panicky-lying-cloistered-fancy-law_5189906e9c8a9bd06fa471ad9d2f4237.jpg,m_3_2,3,2,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/scientific-panicky-lying-cloistered-fancy-law_5189906e9c8a9bd06fa471ad9d2f4237.jpg
4188,scientific-panicky-lying-cloistered-fancy-law_5189906e9c8a9bd06fa471ad9d2f4237.jpg,m_3_6,3,6,True,False,False,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/scientific-panicky-lying-cloistered-fancy-law_5189906e9c8a9bd06fa471ad9d2f4237.jpg
4573,cultured-breakable-fresh-obscene-thin-anybody_cb0526deec4ccd21007829ecfea0d28b.jpg,m_1_7,1,7,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/cultured-breakable-fresh-obscene-thin-anybody_cb0526deec4ccd21007829ecfea0d28b.jpg
4606,abrasive-level-redundant-amazing-orange-refrigerator_962c856a4ad582f87e72cc644aded74e.jpg,f_3_4,3,4,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/abrasive-level-redundant-amazing-orange-refrigerator_962c856a4ad582f87e72cc644aded74e.jpg
4979,rambunctious-jumpy-subdued-rabid-odd-train_69a18a4f21eb480432dd679ea8d8eaaf.jpg,f_2_7,2,7,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/rambunctious-jumpy-subdued-rabid-odd-train_69a18a4f21eb480432dd679ea8d8eaaf.jpg
5022,parched-female-shallow-selfish-perpetual-maintenance_82559ccf7d00cd181abca3a3992e2b26.jpg,f_4_2,4,2,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/parched-female-shallow-selfish-perpetual-maintenance_82559ccf7d00cd181abca3a3992e2b26.jpg
5145,gruesome-terrific-fretful-strong-staking-equipment_400d63f343d0a48d1a9ca89a29460b2a.jpg,f_4_7,4,7,False,False,False,True,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/gruesome-terrific-fretful-strong-staking-equipment_400d63f343d0a48d1a9ca89a29460b2a.jpg
5256,private-goofy-languid-furtive-sudden-student_4e43a8b79a5eba5f603842f689e996d8.jpg,f_2_1,2,1,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/private-goofy-languid-furtive-sudden-student_4e43a8b79a5eba5f603842f689e996d8.jpg
5318,tense-serious-laughable-penitent-disgusted-purchase_bec9fe686a169f2a2371b4f74f6f6fd6.jpg,f_4_2,4,2,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/tense-serious-laughable-penitent-disgusted-purchase_bec9fe686a169f2a2371b4f74f6f6fd6.jpg
5419,absorbed-fortunate-unsuitable-statuesque-excellent-reality_63124fb5798a5a70d582057988d8bbaa.jpg,f_1_7,1,7,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/absorbed-fortunate-unsuitable-statuesque-excellent-reality_63124fb5798a5a70d582057988d8bbaa.jpg
5601,dysfunctional-rotten-substantial-boiling-therapeutic-iron_2eadda14749ba5ba7177d1987277c238.jpg,f_1_1,1,1,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/dysfunctional-rotten-substantial-boiling-therapeutic-iron_2eadda14749ba5ba7177d1987277c238.jpg
6145,five-utter-amazing-materialistic-square-daughter_9389e0c3a7c956a086086dd8a71f8b44.jpg,m_1_7,1,7,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/five-utter-amazing-materialistic-square-daughter_9389e0c3a7c956a086086dd8a71f8b44.jpg
6159,five-utter-amazing-materialistic-square-daughter_9389e0c3a7c956a086086dd8a71f8b44.jpg,m_4_5,4,5,False,False,True,False,False,False,Not checked yet,Not checked yet,https://gitlab.com/mbatur/projekt_zubi/-/raw/master/checked/five-utter-amazing-materialistic-square-daughter_9389e0c3a7c956a086086dd8a71f8b44.jpg
